1,Air Force Blue (Raf),#5d8aa8
2,Air Force Blue (Usaf),#00308f
3,Air Superiority Blue,#72a0c1
4,Alabama Crimson,#a32638
5,Alice Blue,#f0f8ff
6,Alizarin Crimson,#e32636
7,Alloy Orange,#c46210
8,Almond,#efdecd
9,Amaranth,#e52b50
10,Amber,#ffbf00
11,Amber (Sae/Ece),#ff7e00
12,American Rose,#ff033e
13,Amethyst,#96c
14,Android Green,#a4c639
15,Anti-Flash White,#f2f3f4
16,Antique Brass,#cd9575
17,Antique Fuchsia,#915c83
18,Antique Ruby,#841b2d
19,Antique White,#faebd7
20,Ao (English),#008000
21,Apple Green,#8db600
22,Apricot,#fbceb1
23,Aqua,#0ff
24,Aquamarine,#7fffd4
25,Army Green,#4b5320
26,Arsenic,#3b444b
27,Arylide Yellow,#e9d66b
28,Ash Grey,#b2beb5
29,Asparagus,#87a96b
30,Atomic Tangerine,#f96
31,Auburn,#a52a2a
32,Aureolin,#fdee00
33,Aurometalsaurus,#6e7f80
34,Avocado,#568203
35,Azure,#007fff
36,Azure Mist/Web,#f0ffff
37,Baby Blue,#89cff0
38,Baby Blue Eyes,#a1caf1
39,Baby Pink,#f4c2c2
40,Ball Blue,#21abcd
41,Banana Mania,#fae7b5
42,Banana Yellow,#ffe135
43,Barn Red,#7c0a02
44,Battleship Grey,#848482
45,Bazaar,#98777b
46,Beau Blue,#bcd4e6
47,Beaver,#9f8170
48,Beige,#f5f5dc
49,Big Dip O’Ruby,#9c2542
50,Bisque,#ffe4c4
51,Bistre,#3d2b1f
52,Bittersweet,#fe6f5e
53,Bittersweet Shimmer,#bf4f51
54,Black,#000
55,Black Bean,#3d0c02
56,Black Leather Jacket,#253529
57,Black Olive,#3b3c36
58,Blanched Almond,#ffebcd
59,Blast-Off Bronze,#a57164
60,Bleu De France,#318ce7
61,Blizzard Blue,#ace5ee
62,Blond,#faf0be
63,Blue,#00f
64,Blue Bell,#a2a2d0
65,Blue (Crayola),#1f75fe
66,Blue Gray,#69c
67,Blue-Green,#0d98ba
68,Blue (Munsell),#0093af
69,Blue (Ncs),#0087bd
70,Blue (Pigment),#339
71,Blue (Ryb),#0247fe
72,Blue Sapphire,#126180
73,Blue-Violet,#8a2be2
74,Blush,#de5d83
75,Bole,#79443b
76,Bondi Blue,#0095b6
77,Bone,#e3dac9
78,Boston University Red,#c00
79,Bottle Green,#006a4e
80,Boysenberry,#873260
81,Brandeis Blue,#0070ff
82,Brass,#b5a642
83,Brick Red,#cb4154
84,Bright Cerulean,#1dacd6
85,Bright Green,#6f0
86,Bright Lavender,#bf94e4
87,Bright Maroon,#c32148
88,Bright Pink,#ff007f
89,Bright Turquoise,#08e8de
90,Bright Ube,#d19fe8
91,Brilliant Lavender,#f4bbff
92,Brilliant Rose,#ff55a3
93,Brink Pink,#fb607f
94,British Racing Green,#004225
95,Bronze,#cd7f32
96,Brown (Traditional),#964b00
97,Brown (Web),#a52a2a
98,Bubble Gum,#ffc1cc
99,Bubbles,#e7feff
100,Buff,#f0dc82
101,Bulgarian Rose,#480607
102,Burgundy,#800020
103,Burlywood,#deb887
104,Burnt Orange,#c50
105,Burnt Sienna,#e97451
106,Burnt Umber,#8a3324
107,Byzantine,#bd33a4
108,Byzantium,#702963
109,Cadet,#536872
110,Cadet Blue,#5f9ea0
111,Cadet Grey,#91a3b0
112,Cadmium Green,#006b3c
113,Cadmium Orange,#ed872d
114,Cadmium Red,#e30022
115,Cadmium Yellow,#fff600
116,Café Au Lait,#a67b5b
117,Café Noir,#4b3621
118,Cal Poly Green,#1e4d2b
119,Cambridge Blue,#a3c1ad
120,Camel,#c19a6b
121,Cameo Pink,#efbbcc
122,Camouflage Green,#78866b
123,Canary Yellow,#ffef00
124,Candy Apple Red,#ff0800
125,Candy Pink,#e4717a
126,Capri,#00bfff
127,Caput Mortuum,#592720
128,Cardinal,#c41e3a
129,Caribbean Green,#0c9
130,Carmine,#960018
131,Carmine (M&P),#d70040
132,Carmine Pink,#eb4c42
133,Carmine Red,#ff0038
134,Carnation Pink,#ffa6c9
135,Carnelian,#b31b1b
136,Carolina Blue,#99badd
137,Carrot Orange,#ed9121
138,Catalina Blue,#062a78
139,Ceil,#92a1cf
140,Celadon,#ace1af
141,Celadon Blue,#007ba7
142,Celadon Green,#2f847c
143,Celeste (Colour),#b2ffff
144,Celestial Blue,#4997d0
145,Cerise,#de3163
146,Cerise Pink,#ec3b83
147,Cerulean,#007ba7
148,Cerulean Blue,#2a52be
149,Cerulean Frost,#6d9bc3
150,Cg Blue,#007aa5
151,Cg Red,#e03c31
152,Chamoisee,#a0785a
153,Champagne,#fad6a5
154,Charcoal,#36454f
155,Charm Pink,#e68fac
156,Chartreuse (Traditional),#dfff00
157,Chartreuse (Web),#7fff00
158,Cherry,#de3163
159,Cherry Blossom Pink,#ffb7c5
160,Chestnut,#cd5c5c
161,China Pink,#de6fa1
162,China Rose,#a8516e
163,Chinese Red,#aa381e
164,Chocolate (Traditional),#7b3f00
165,Chocolate (Web),#d2691e
166,Chrome Yellow,#ffa700
167,Cinereous,#98817b
168,Cinnabar,#e34234
169,Cinnamon,#d2691e
170,Citrine,#e4d00a
171,Classic Rose,#fbcce7
172,Cobalt,#0047ab
173,Cocoa Brown,#d2691e
174,Coffee,#6f4e37
175,Columbia Blue,#9bddff
176,Congo Pink,#f88379
177,Cool Black,#002e63
178,Cool Grey,#8c92ac
179,Copper,#b87333
180,Copper (Crayola),#da8a67
181,Copper Penny,#ad6f69
182,Copper Red,#cb6d51
183,Copper Rose,#966
184,Coquelicot,#ff3800
185,Coral,#ff7f50
186,Coral Pink,#f88379
187,Coral Red,#ff4040
188,Cordovan,#893f45
189,Corn,#fbec5d
190,Cornell Red,#b31b1b
191,Cornflower Blue,#6495ed
192,Cornsilk,#fff8dc
193,Cosmic Latte,#fff8e7
194,Cotton Candy,#ffbcd9
195,Cream,#fffdd0
196,Crimson,#dc143c
197,Crimson Glory,#be0032
198,Cyan,#0ff
199,Cyan (Process),#00b7eb
200,Daffodil,#ffff31
201,Dandelion,#f0e130
202,Dark Blue,#00008b
203,Dark Brown,#654321
204,Dark Byzantium,#5d3954
205,Dark Candy Apple Red,#a40000
206,Dark Cerulean,#08457e
207,Dark Chestnut,#986960
208,Dark Coral,#cd5b45
209,Dark Cyan,#008b8b
210,Dark Electric Blue,#536878
211,Dark Goldenrod,#b8860b
212,Dark Gray,#a9a9a9
213,Dark Green,#013220
214,Dark Imperial Blue,#00416a
215,Dark Jungle Green,#1a2421
216,Dark Khaki,#bdb76b
217,Dark Lava,#483c32
218,Dark Lavender,#734f96
219,Dark Magenta,#8b008b
